,선명,역명,도로명주소,latlon,name
1079,4호선,선바위,경기도 과천시 중앙로 440,"(37.4518723418033, 127.001363325574)",4호선 선바위
1080,4호선,수리산,경기도 군포시 번영로 385,"(37.350128811081, 126.92549018064)",4호선 수리산
1081,4호선,신길온천,경기도 안산시 단원구 황고개로 2,"(37.3375787569365, 126.767149151692)",4호선 신길온천
1082,4호선,안산,경기도 안산시 단원구 중앙대로 462,"(37.3279773719144, 126.787289454372)",4호선 안산
1083,4호선,오이도,경기도 시흥시 역전로 430  ,"(37.3619270024133, 126.738463594077)",4호선 오이도
1084,4호선,인덕원,경기도 안양시 동안구 흥안대로 529,"(37.4015080484355, 126.976688773261)",4호선 인덕원
1085,4호선,정부과천청사,경기도 과천시 중앙로 지하 100(별양동),"(37.4259969407168, 126.990186147038)",4호선 정부과천청사
1086,4호선,정왕,경기도 시흥시 마유로 418번길 15,"(37.3517739382788, 126.743009420685)",4호선 정왕
1087,4호선,중앙,경기도 안산시 단원구 중앙대로 918,"(37.3160120851693, 126.838496502051)",4호선 중앙
1088,4호선,초지,경기도 안산시 단원구 중앙대로 620,"(37.3206930878552, 126.805905689102)",4호선 초지
1089,4호선,평촌,경기도 안양시 동안구 부림로 지하 123,"(37.3944955073661, 126.963866284332)",4호선 평촌
1090,4호선,한대앞,경기도 안산시 상록구 충장로 337,"(37.310138887688, 126.853604115068)",4호선 한대앞
1091,수인분당,가천대,경기도 성남시 수정구 성남대로 1332,"(37.4485689815439, 127.126705584536)",수인분당 가천대
1092,수인분당,강남구청,서울특별시 강남구 학동로 346,"(37.5171892352971, 127.04130142966)",수인분당 강남구청
1093,수인분당,개포동,서울시 강남구 개포로 지하420,"(37.4892484725195, 127.066474949768)",수인분당 개포동
1094,수인분당,고색,경기도 수원시 권선구 매송고색로 지하 690,"(37.2497641029802, 126.980512216022)",수인분당 고색
1095,수인분당,고잔,경기도 안산시 단원구 중앙대로 784,"(37.3169100461483, 126.822032221336)",수인분당 고잔
1096,수인분당,구룡,서울특별시 강남구 개포로 지하 403,"(37.4870878178945, 127.059265605498)",수인분당 구룡
1097,수인분당,구성,경기도 용인시 기흥구 용구대로 2403(마북동460-3),"(37.2988793074736, 127.105772956042)",수인분당 구성
1098,수인분당,기흥(백남준아트센터),경기도 용인시 기흥구 중부대로 460,"(37.2753187070748, 127.115952887482)",수인분당 기흥(백남준아트센터)
1099,수인분당,남동인더스파크,인천광역시 남동구 은청로 17,"(37.4077122914703, 126.695263757502)",수인분당 남동인더스파크
1100,수인분당,달월,경기도 시흥시 서해안로 736번길 55,"(37.3798590670709, 126.745771786914)",수인분당 달월
1101,수인분당,대모산입구,서울시 강남구 개포로 522,"(37.4915453291369, 127.07316864715)",수인분당 대모산입구
1102,수인분당,도곡,서울특별시 강남구 남부순환로 2814  ,"(37.4908647717187, 127.05532337372)",수인분당 도곡
