,name,도로명주소,브랜드,latlon
146,은행사거리점,서울 노원구 중계로 217,스타벅스,"(37.6505035811197, 127.075992830225)"
147,진관DT점,서울 은평구 연서로 645,스타벅스,"(37.6501783208217, 126.936159835999)"
148,쌍문역점,서울 도봉구 도봉로 480,스타벅스,"(37.6483536013789, 127.034887170663)"
149,중계역점,서울 노원구 동일로 1339,스타벅스,"(37.6481622655674, 127.062182016086)"
150,쌍문도봉로점,서울 도봉구 도봉로 444,스타벅스,"(37.6453890648185, 127.033116226875)"
151,강북구청사거리점,서울 강북구 도봉로 365,스타벅스,"(37.6400141810051, 127.027385316418)"
152,구파발사거리점,서울 은평구 진관3로 21,스타벅스,"(37.6396025010646, 126.919014455213)"
153,수유역점,서울 강북구 도봉로 342,스타벅스,"(37.6380345518337, 127.026128675843)"
154,구파발역점,서울 은평구 진관2로 12,스타벅스,"(37.6342576294538, 126.918550997661)"
155,월계역점,서울 노원구 초안산로2라길 26,스타벅스,"(37.6300099286586, 127.05667170993)"
156,월계이마트점,서울 노원구 마들로3길 15,스타벅스,"(37.6265093604229, 127.061979778612)"
157,공릉역점,서울 노원구 동일로 1081,스타벅스,"(37.62637727809, 127.072270436177)"
158,미아역점,서울 강북구 도봉로 196,스타벅스,"(37.6261436910197, 127.026574236378)"
159,광운대점,서울 노원구 석계로 104,스타벅스,"(37.6231823075724, 127.060725543535)"
160,공릉DT점,서울 노원구 동일로 1015,스타벅스,"(37.6207526469417, 127.074220863167)"
161,연신내점,서울 은평구 통일로 867,스타벅스,"(37.6202313639655, 126.919897694543)"
162,태릉입구역DT,서울 노원구 화랑로 469,스타벅스,"(37.619235027025, 127.079338929761)"
163,연신내역사거리점,서울 은평구 통일로 842,스타벅스,"(37.6186902335511, 126.922063807625)"
164,미아뉴타운점,서울 강북구 삼양로 161,스타벅스,"(37.6183899941147, 127.021123478902)"
165,장위뉴타운점,서울 성북구 장월로38길 4,스타벅스,"(37.6180026605913, 127.051549899877)"
166,묵동점,서울 중랑구 동일로 952,스타벅스,"(37.6153331239502, 127.076880465585)"
167,미아사거리역점,서울 강북구 도봉로 32,스타벅스,"(37.6118468027305, 127.030708756258)"
168,구산역점,서울 은평구 연서로 146,스타벅스,"(37.6118256229728, 126.917712097114)"
169,미아이마트,서울 성북구 도봉로 17,스타벅스,"(37.6108552099076, 127.029867413357)"
170,불광역점,서울 은평구 통일로 715,스타벅스,"(37.609413947696, 126.930308376671)"
171,현대미아점,서울 성북구 동소문로 315,스타벅스,"(37.6083998425637, 127.028743635895)"
172,미아점,서울 성북구 동소문로 314,스타벅스,"(37.6076217871935, 127.029316733184)"
173,양원역점,서울 중랑구 양원역로10길 3,스타벅스,"(37.6066433737249, 127.106339503555)"
174,종로평창동점,서울 종로구 평창12길 3,스타벅스,"(37.606177671919, 126.96722438064)"
175,중랑구청점,서울 중랑구 신내로 72,스타벅스,"(37.6054064377729, 127.09566855816)"
176,녹번역점,서울 은평구 통일로 636,스타벅스,"(37.603517115574, 126.935311316206)"
177,월곡역점,서울 성북구 화랑로 76,스타벅스,"(37.6018277386458, 127.040463515854)"
178,중화역점,서울 중랑구 봉화산로 35,스타벅스,"(37.6018095864644, 127.078324330908)"
179,종암점,서울 성북구 종암로 122,스타벅스,"(37.6012026108787, 127.033955689737)"
180,은평구청입구점,서울 은평구 은평로 170,스타벅스,"(37.6010893852841, 126.926662375326)"
181,은평이마트점,서울 은평구 은평로 111,스타벅스,"(37.6008254685415, 126.920513478627)"
182,상봉점,서울 중랑구 상봉로 131,스타벅스,"(37.5974066200134, 127.092177640813)"
183,상봉역점,서울 중랑구 망우로 307,스타벅스,"(37.5969380081251, 127.086471773354)"
184,외대점,서울 동대문구 휘경로 12-1,스타벅스,"(37.5957325089141, 127.06140256497)"
185,외대정문점,서울 동대문구 이문로 93,스타벅스,"(37.5953818714405, 127.05923135853)"
186,성신여대점,서울 성북구 동소문로24길 12,스타벅스,"(37.5931500260512, 127.018413305959)"
187,중랑역점,서울 중랑구 망우로30길 3,스타벅스,"(37.5930806702101, 127.0747508051)"
188,경희대점,서울 동대문구 경희대로 16-1,스타벅스,"(37.5929010400532, 127.052866883162)"
189,종암DT점,서울 성북구 종암로 17,스타벅스,"(37.5919045586268, 127.036088313794)"
190,경희대삼거리점,서울 동대문구 회기로 141,스타벅스,"(37.5915700154784, 127.052031564319)"
191,성신여대정문점,서울 성북구 보문로34길 62,스타벅스,"(37.5908419743847, 127.01885953079)"
192,회기역사거리점,서울 동대문구 이문로 37,스타벅스,"(37.5908011291028, 127.056117386349)"
193,새절역점,서울 은평구 증산로 371,스타벅스,"(37.5895376912069, 126.912885066283)"
194,한성대입구역점,서울 성북구 성북로 11,스타벅스,"(37.5890512143102, 127.00492740484)"
195,삼선교점,서울 성북구 동소문로 10,스타벅스,"(37.5887327686781, 127.007333614721)"
196,홍제역점,서울 서대문구 통일로 451,스타벅스,"(37.5886701766902, 126.943849906806)"
197,고대안암병원점,서울 성북구 고려대로 73,스타벅스,"(37.5871109699535, 127.026357234716)"
198,안암역점,서울 성북구 고려대로 102-2,스타벅스,"(37.5861091702702, 127.030766564708)"
199,삼청동점,서울 종로구 삼청로 111-1,스타벅스,"(37.5853814289538, 126.981781192692)"
200,동숭길입구점,서울 종로구 대학로 146,스타벅스,"(37.5842489176, 127.002029979851)"
201,청량리역사점,서울 동대문구 왕산로 214,스타벅스,"(37.5841961381161, 127.05114707633)"
202,고대점,서울 성북구 고려대로24길 51,스타벅스,"(37.5839294883991, 127.029709018435)"
203,성대입구점,서울 종로구 창경궁로 235,스타벅스,"(37.582972036022, 126.998368345236)"
204,동숭로아트점,서울 종로구 동숭길 110,스타벅스,"(37.5829709917231, 127.003901728931)"
205,혜화역점,서울 종로구 대학로12길 4,스타벅스,"(37.5825159439465, 127.002197716421)"
206,마로니에공원점,서울 종로구 대학로 116,스타벅스,"(37.5815326869888, 127.002336486451)"
207,상암사보이시티,서울 마포구 월드컵북로54길 17,스타벅스,"(37.581324224744, 126.888548408154)"
208,상암MBC점,서울 마포구 성암로 267,스타벅스,"(37.5811234199086, 126.890988995582)"
209,북가좌DT점,서울 서대문구 응암로 85,스타벅스,"(37.5805716868071, 126.911493051935)"
210,서울대치과병원점,서울 종로구 대학로 101,스타벅스,"(37.5804523853297, 126.997196437908)"
211,수색점,서울 은평구 수색로 216,스타벅스,"(37.5798457128548, 126.899932768477)"
212,사가정역점,서울 중랑구 면목로 310,스타벅스,"(37.5796360424526, 127.087974659533)"
213,북촌로점,서울 종로구 북촌로4길 23,스타벅스,"(37.5794487466256, 126.986467254784)"
214,상암YTN점,서울 마포구 상암산로 76,스타벅스,"(37.5791943482019, 126.892314544858)"
215,경동1960점,서울 동대문구 고산자로36길 3,스타벅스,"(37.5790377655561, 127.039142935818)"
216,남가좌사거리점,서울 서대문구 거북골로 84,스타벅스,"(37.5782296308468, 126.918481311495)"
217,상암DMC점,서울 마포구 월드컵북로 375,스타벅스,"(37.5775739803674, 126.890723266484)"
218,안국점,서울 종로구 북촌로 5-1,스타벅스,"(37.5773774448484, 126.985650278426)"
219,경복궁역점,서울 종로구 자하문로4길 6,스타벅스,"(37.5771838641415, 126.972634880187)"
220,신설동역점,서울 동대문구 왕산로 19,스타벅스,"(37.5767090920194, 127.025524677025)"
221,대학로점,서울 종로구 대학로 57,스타벅스,"(37.5765585834389, 127.001450046714)"
222,상암디지털큐브점,서울 마포구 상암산로 34,스타벅스,"(37.5762102049855, 126.889239900296)"
223,디지털미디어시티역,서울 마포구 성암로 179,스타벅스,"(37.5761509117108, 126.898763780833)"
224,경복궁사거리점,서울 종로구 율곡로 6,스타벅스,"(37.5754538625026, 126.979775832051)"
225,적선점,서울 종로구 새문안로5길 55,스타벅스,"(37.5751282762119, 126.973966674854)"
226,스페이스본점,서울 종로구 사직로8길 4,스타벅스,"(37.5746716527447, 126.968429762772)"
227,정부서울청사R점,서울 종로구 새문안로5가길 28,스타벅스,"(37.574460196686, 126.973597076089)"
228,방화DT,서울 강서구 방화대로 375,스타벅스,"(37.5744541532234, 126.816386022206)"
229,가재울뉴타운점,서울 서대문구 가재울미래로 2,스타벅스,"(37.5744203632344, 126.917897379411)"
230,연합뉴스점,서울 종로구 율곡로2길 25,스타벅스,"(37.5743642341595, 126.98051726008)"
231,이마빌딩점,서울 종로구 종로1길 42,스타벅스,"(37.5739029320481, 126.978983502911)"
232,종로플레이스점,서울 종로구 창경궁로 120,스타벅스,"(37.5729815403513, 126.998249476942)"
233,동묘앞역점,서울 종로구 종로 344,스타벅스,"(37.5727228633137, 127.016083157911)"
234,종로구청점,서울 종로구 삼봉로 71,스타벅스,"(37.5726674875411, 126.981114262989)"
235,인사점,서울 종로구 인사동길 14,스타벅스,"(37.5721911098042, 126.986949096551)"
236,독립문역점,서울 종로구 송월길 155,스타벅스,"(37.5717267174551, 126.961625543187)"
237,경희궁로점,서울 종로구 새문안로3길 15,스타벅스,"(37.5717056482532, 126.972300686793)"
238,종로수송점,서울 종로구 종로5길 30,스타벅스,"(37.5716743442878, 126.980703152578)"
239,주얼리시티점,서울 종로구 종로 183,스타벅스,"(37.5714476873524, 126.998320034926)"
240,광화문점,서울 종로구 세종대로 167,스타벅스,"(37.5712680054994, 126.976304863447)"
241,광화문D타워점,서울 종로구 종로3길 17,스타벅스,"(37.5709958592808, 126.978914477333)"
242,광화문교보문고점,서울 종로구 종로 1,스타벅스,"(37.5709578373114, 126.977928770123)"
243,황학캐슬점,서울 중구 청계천로 400,스타벅스,"(37.5708105464699, 127.021463886656)"
244,더종로R점,서울 종로구 종로 51,스타벅스,"(37.5707451369668, 126.983611410428)"
245,종로3가점,서울 종로구 종로 113-1,스타벅스,"(37.5705929705531, 126.990220634469)"
246,연희DT점,서울 서대문구 연희로 144,스타벅스,"(37.5701890591183, 126.93389011557)"
247,종각점,서울 종로구 종로 64,스타벅스,"(37.5699578826778, 126.984542274763)"
248,광화문우체국점,서울 종로구 종로 6,스타벅스,"(37.5698416253417, 126.978096062325)"
249,종로관수점,서울 종로구 삼일대로20길 13,스타벅스,"(37.5697524735629, 126.988670425646)"
250,새문안로점,서울 종로구 새문안로 92,스타벅스,"(37.5696996246023, 126.974907969051)"
